XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1720138,82750000;5952744,29350000;104;TU-Graz, Institute der Fakultät für Technische Chemie, Verfahrenstechnik u. Biotechnologie;Stremayrgasse 16;8010;Graz;+43(0)316/873-8201;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,065331;15,452270
1720221,32740000;5952707,16560000;105;TU-Graz, Institut für Molekulare Biotechnologie;Petersgasse 14;8010;Graz;+43(0)316/873-4072;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,065105;15,453012
1719997,33610000;5952708,38050000;106;TU-Graz, Institut für Papier-, Zellstoff- u. Fasertechnik;Kopernikusgasse 24/II;8010;Graz;+43(0)316/873-0;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,065113;15,450999
1720192,99760000;5952784,91020000;107;TU-Graz, Institute der Fakultät für Technische Chemie, Verfahrenstechnik u. Biotechnologie;Petersgasse 12;8010;Graz;+43(0)316/873-6451;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,065578;15,452757
1715060,38240000;5953476,61090000;108;FH Joanneum, Physiotherapie;Eggenberger Allee 13;8020;Graz;+43(0)316/5453-6540;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,069813;15,406650
1722093,40400000;5955605,56590000;109;MED Institut für Pflegewissenschaften;Billrothgasse 6/I;8010;Graz;+43(0)316/385-72064;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,082836;15,469829
1719875,04770000;5953861,66140000;110;KUG Institut 13 Ethnomusikologie;Leonhardstraße 15/Palais Meran I;8010;Graz;+43(0)316/389-3130;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,072166;15,449901
1721432,93110000;5951812,05410000;111;TU-Graz, Institute der Fakultät für Maschinenbau u. Wirtschaftswissen;Inffeldgasse 11;8010;Graz;+43(0)316/873-9400;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,059628;15,463895
1720329,95300000;5952676,04390000;112;TU-Graz, Institute der Fakultät für Technische Mathematik u. Technische Physik;Petersgasse 16;8010;Graz;+43(0)316/873-8110;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,064915;15,453987
1720711,60940000;5953646,65790000;113;Uni-Graz, Institut für Erziehungswissenschaften;Merangasse 70/2;8010;Graz;+43(0)316/380-2535;Universitäten, Hoch- & Fachhochschulen;Karl-Franzens-Universität Graz;Stadt Graz - Stadtvermessung;47,070854;15,457416
1719933,80360000;5954007,26540000;114;KUG Institut 10 Musiktheater;Lichtenfelsgasse 14/III;8010;Graz;-;Universitäten, Hoch- & Fachhochschulen;Kunstuniversität Graz;Stadt Graz - Stadtvermessung;47,073059;15,450428
1715019,70280000;5953439,79910000;115;FH Joanneum, eHealth;Eggenberger Allee 11;8020;Graz;+43(0)316/5453-6500;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,069588;15,406284
1715086,82500000;5953490,68150000;116;FH Joanneum, Biomedizinische Analytik;Eggenberger Allee 13;8020;Graz;+43(0)316/5453-6660;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,069897;15,406887
